history;Population;block;Individual;t;Treatment;Transplanting Date;Initial height(cm);Initial height;Flowering date;1cm bud date;Days to flowering;Days to achieve 1 cm bud;Total days;Total days1;Width (cm);Height (cm);vollum (cm3);N? buds;N? leaves;Bud biomass (mg);Roots biomass (mg);Aboveground biomass without leaves(mg);Aboveground biommas(mg);Total biomass(mg);Total.biomass1;root_shoot ratio;Stage;Flowering;Estmating the remain days;;flower sex;SLA LL(cm2/mg);SLA LM(cm2/mg);SLA LH(cm2/mg);SLA (cm2/mg);Fresh weight LL(mg);Turgid weight LL(mg);Dry weight LL(mg);Fresh weight LM(mg);Turgid weight LM(mg);Dry weight LM(mg);Fresh weight LH(mg);Turgid weight LH(mg);Dry weight LH(mg);RWC;Moisture (%);Leaves density;Relative growth rate;initial biomass_exp;initial biomass_linear;relative efficiency index 
MP;mg-2;na;3;ambient;elevated;20.01.2017;11.4;11.4;01.03.2017;13.03.2017;40;12;52;52;17.2;47.4;11007.91;33;118;2.3;1625.5;7920;8121.1;9748.9;9.7489;0.2;5;1;;;M;0.296;0.33;0.226;0.284;836.4;980.3;171;24.1;33.8;6.3;74.8;113.3;23.8;0.68;10.1;2.49;0.69;40.12508902;99.95688;0.77
MP;mg-2;na;2a;ambient;ambient;20.01.2017;7.6;7.6;09.03.2017;28.03.2017;48;19;67;67;22;55.6;21124.66;NA;87;NA;3613;9110;9368.1;12981.1;12.9811;0.39;5;1;;;F;0.435;0.246;0.239;0.267;42.7;56.4;11.7;519.1;603.4;181.8;182.9;217.4;64.6;0.71;13.15;1.56;0.72;14.90101304;43.36082;48
MP;mg-2;na;1a;elevated;elevated;20.01.2017;10;10;22.02.2017;28.03.2017;33;34;67;67;18.9;76.8;21535.48;NA;73;NA;3521.2;11710;12050.2;15571.4;15.5714;0.29;5;1;;;F;0.259;0.323;0.22;0.284;1163.1;1389.7;274;17.3;24.1;4.9;182.4;237.7;61.3;0.743;15.05;0.95;1;27.85615647;79.1057;1.44
MP;mg-2;na;1;elevated;elevated;20.01.2017;7.2;7.2;27.02.2017;28.03.2017;38;29;67;67;18.1;86.4;22219.82;NA;79;NA;2606.1;13090;13271;15877.1;15.8771;0.2;5;1;;;F;0.234;0.201;0.232;0.222;33.9;50.2;15.6;384.8;472.8;145.1;68;98.5;20.3;0.623;20.35;0.91;1.18;13.42553378;37.40334;1.7
MP;mg-2;na;2;ambient;ambient;20.01.2017;13.2;13.2;15.03.2017;29.03.2017;54;14;68;68;18.6;74.8;20314.08;NA;117;NA;4101.7;12800;12960.6;17062.3;17.0623;0.32;5;1;;;F;0.304;0.235;0.215;0.252;49.3;54.8;16.6;338.7;382.7;122.4;63.5;76.3;21.6;0.818;14.5;1.56;0.91;64.14976322;126.76554;61.6
MP;mg-2;na;4;elevated;ambient;20.01.2017;13.8;13.8;20.03.2017;03.04.2017;59;14;73;73;15.3;74.9;13763.67;NA;127;NA;3491.6;15140;15294;18785.6;18.7856;0.23;5;1;;;F;0.43;0.268;0.154;0.211;51;62.5;9.1;416.4;499.9;121.9;54.7;70.7;23;0.797;17.35;1.7;0.84;75.0103872;135.70176;61.1
MP;mg-21;na;1;elevated;ambient;20.01.2017;10.2;10.2;03.03.2017;15.03.2017;42;12;54;54;18.1;25.7;6609.37;11;109;5.1;3888.5;6520;6684.4;10578;10.578;0.58;5;1;;;M;0.381;0.273;0.23;0.307;43;54.7;11.2;322.7;383.3;106.6;135.9;163.5;46.6;0.756;37.9;4.24;0.29;29.34697281;82.08444;15.5
MP;mg-23;na;4;ambient;ambient;20.01.2017;5.4;5.4;06.03.2017;14.03.2017;45;8;53;53;14;72.5;11154.85;17;120;3.7;2289.3;7940;8232.6;10525.6;10.5256;0.28;5;1;;;M;0.337;0.246;0.208;0.263;42.7;59.7;10.6;570.5;678.2;166.5;362.2;446.3;115.5;0.73;16.75;1.66;1.27;8.397548349;10.59468;67.1
MP;mg-23;na;1;ambient;elevated;20.01.2017;10.5;10.5;01.03.2017;16.03.2017;40;15;55;55;20.2;32.3;10346.06;20;133;3.5;2862.9;7610;7845.6;10712;10.712;0.36;5;1;;;M;0.505;0.227;0.206;0.295;36.5;44.2;7.1;454.4;517.9;142;271.8;323.4;86.5;0.759;8.5;4.12;0.4;31.73412182;86.55255;0.36
MP;mg-23;na;3;ambient;ambient;20.01.2017;8.1;8.1;09.03.2017;16.03.2017;48;7;55;55;17.3;63.4;14895.36;8;102;1.6;2213.4;8750;8953.7;11168.7;11.1687;0.25;5;1;;;M;0.276;0.193;0.163;0.317;68.7;81;17.2;456.8;522.3;135.5;146.1;177.3;51;0.73;21.1;1.61;1.01;16.97544181;50.80767;55.3
