history;Population;block;Individual;t;Treatment;Transplanting Date;Initial height(cm);Initial height;Flowering date;1cm bud date;Days to flowering;Days to achieve 1 cm bud;Total days;Total days1;Width (cm);Height (cm);vollum (cm3);N? buds;N? leaves;Bud biomass (mg);Roots biomass (mg);Aboveground biomass without leaves(mg);Aboveground biommas(mg);Total biomass(mg);Total.biomass1;root_shoot ratio;Stage;Flowering;Estmating the remain days;;flower sex;SLA LL(cm2/mg);SLA LM(cm2/mg);SLA LH(cm2/mg);SLA (cm2/mg);Fresh weight LL(mg);Turgid weight LL(mg);Dry weight LL(mg);Fresh weight LM(mg);Turgid weight LM(mg);Dry weight LM(mg);Fresh weight LH(mg);Turgid weight LH(mg);Dry weight LH(mg);RWC;Moisture (%);Leaves density;Relative growth rate;initial biomass_exp;initial biomass_linear;relative efficiency index 
MP;vh-4;na;2;ambient;ambient;20.01.2017;10.1;10.1;20.02.2017;23.02.2017;31;3;34;34;16.7;44.7;9786.11;1;68;9.3;1884.3;4160;4287.9;6181.5;6.1815;0.44;5;1;;;M;0.343;0.263;0.256;0.287;57.7;79.8;13;397;629.7;96.7;57.4;96.6;18.2;0.593;16.2;1.52;1.02;28.59184965;80.59507;34.6
MP;vh-4;na;1;ambient;ambient;20.01.2017;13.8;13.8;20.02.2017;23.02.2017;31;3;34;34;16.9;39;8743.95;6;75;23.5;1200.6;5390;5498.4;6722.5;6.7225;0.22;5;1;;;M;0.394;0.507;0.29;0.397;496.1;647.1;71.4;49.5;77;9.9;87.1;142.1;27.1;0.572;10.65;1.92;0.74;75.0103872;135.70176;25.2
MP;vh-4;na;5a;elevated;elevated;20.01.2017;7.6;7.6;01.03.2017;09.03.2017;40;8;48;48;19.2;21.8;6308.54;6;74;2.7;2529.1;4060;4253.3;6785.1;6.7851;0.59;5;1;;;M;0.427;0.266;0.229;0.308;40.9;63.2;7.3;484.4;609.3;122.8;215.5;294.8;63.2;0.667;10.75;3.39;0.3;14.90101304;43.36082;0.5
MP;vh-4;na;4;elevated;elevated;20.01.2017;12.2;12.2;17.02.2017;28.02.2017;28;11;39;39;18.6;41.1;11161.88;15;99;5.3;1573.4;5630;5779.8;7358.5;7.3585;0.27;5;1;;;M;0.455;0.379;0.296;0.377;62.3;93.9;11.4;482.1;586.1;101;146.7;233.4;37.4;0.653;10.4;2.41;0.74;49.42930169;111.87184;1.02
MP;vh-4;na;1a;elevated;elevated;20.01.2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALUE!;#VALUE!;NA
MP;vh-4;na;3a;elevated;elevated;20.01.2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALUE!;#VALUE!;NA
MP;vh-4;na;6a;ambient;ambient;20.01.2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALUE!;#VALUE!;NA
MP;vh-6;na;2;elevated;elevated;20.01.2017;5.3;5.3;27.02.2017;15.03.2017;38;16;54;54;18.7;63;17293.92;11;96;1.6;1822.6;5140;5295.2;7119.4;7.1194;0.34;5;1;;;M;0.571;0.241;0.21;0.341;187.6;243.7;40.7;287.3;356.2;110.3;12.1;15.9;4.2;0.706;11.2;1.52;1.07;8.181472118;9.10531;1.64
MP;vh-6;na;1;ambient;ambient;20.01.2017;2.4;2.4;09.03.2017;15.03.2017;48;6;54;54;21.9;36.8;13854.97;7;64;5.8;2493.2;5040;5477.9;7976.9;7.9769;0.46;5;1;;;M;0.594;0.273;0.27;0.379;41.9;70.8;8.7;818.6;970.1;262.8;494.3;599.3;166.4;0.693;24.2;1.74;0.64;3.84167627;-34.08642;34.4
MP;vh-6;na;4;elevated;elevated;20.01.2017;NA;2;01.03.2017;14.03.2017;40;13;53;53;17.6;48.2;11720.39;5;84;2.3;1824;6240;6403.7;8230;8.23;0.28;5;1;;;M;0.447;0.28;0.328;0.351;54.2;65.5;9;617.9;708.4;148.3;25.6;35.6;6.4;0.765;8.35;1.74;0.87;3.461278398;-40.0439;1.31
MP;vh-6;na;3;ambient;ambient;20.01.2017;3.4;3.4;20.03.2017;10.04.2017;59;21;80;80;20.2;39.5;12652.3;6;60;2.3;4325.3;5310;5553.4;9881;9.881;0.78;5;1;;;M;0.184;0.238;0.274;0.232;33.5;43.6;13;563.6;658.1;182.8;218.1;197.4;47.6;0.87;29.9;1.52;0.45;4.985759755;-19.19272;36.1
MP;vh-6;na;1a;ambient;ambient;20.01.2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALUE!;#VALUE!;NA
MP;vh-6;na;2a;ambient;ambient;20.01.2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALUE!;#VALUE!;NA
MP;vh-6;na;3a;elevated;elevated;20.01.2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALUE!;#VALUE!;NA
MP;vh-6;na;4a;elevated;elevated;20.01.2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALUE!;#VALUE!;NA
